review,rating,Source
"This is very much a movie that will get devided opinions on it, my cousin said well this is two hours of my life i will never get back, and me? I left the theatre in such a good mood. It was the sense of humor for me, laughed so hard. Specially Ryan Gossling was sooooo good and funny, many familiar faces to spot also. And margot robbie come on... the perfect casting for Barbie. I also have to say, the way they created Barbie land was so amazing, it just makes you just want to there. I don't really have anything bad to say about this movie. I can understand not everyone will love it. But i am sure it is a iconic film already.274 out of 611 found this helpful. Was this review helpful? Sign in to vote.Permalink",8,Barbie
"This movie is so much fun. It starts off really strong although the story does move away from ""Barbieland"" sooner than I would have liked. Nonetheless, it regains its footing with the final act in particular and I could not stop laughing at Ryan Gosling's portrayal of Ken. That song will forever be stuck in my head.There are also plenty of good messages to be taken away from this experience, that is if you're not an insecure middle-aged male terrified of women. I loved everything the movie had to say about the patriarchy and barbies and growing up and consumerism and so much more.I am excited to watch it again soon. The pacing is not perfect and its huge potential is not fully matched, but purely as a cinematic experience I will never forget this movie.164 out of 451 found this helpful. Was this review helpful? Sign in to vote.Permalink",8,Barbie
"The quality, the humor, and the writing of the movie is fun for a while. It's quirky and it's unique. When they get into the weeds and try to explore deeper themes, the movie is a miss. The middle expositional phase of the movie, I must say, is a bore.The movie was so close to being great, but it was incapable of delivering a message without having a character literally give a speech worth of dialogue.What could have been a great satire and what began as a cleverly funny movie turned into a preachy and moralizing movie in the end. But I guess the charm of the first half of the movie made up for the shortcomings.47 out of 75 found this helpful. Was this review helpful? Sign in to vote.Permalink",6,Barbie
"Barbie is everything expected of it and so much more, a self aware and meta comedy made for fans and newcomers alike that's also incredibly profound, layered and really funny. It's the best version of itself and just immensely satisfying that the Barbie movie that got made on this scale is so weird and unique.Margot Robbie is perfect casting as Barbie, she nails the movement and switches between the eccentric Barbie Land and more emotionally tolling real world effortlessly. She has a terrific arc that's full of emotionally resonant moments and the almost parental nature with Gosling works beautifully.Ryan Gosling is phenomenal as Ken. Note perfect casting that gives him another welcome chance to move away from his usual introverted roles and tap into his impeccable comedic timing present in The Nice Guys, only here it's dialed up to eleven. It all culminates in a musical number that is painfully funny.Will Ferrell is essentially playing Lord Business again and him and his whole team of execs are just as cartoonish as the people in Barbie Land but it actually really works as a nice bit of satire that emphasises just how out of touch all of them are.America Ferrara gets one of the biggest speeches of the film and really makes it work and her relationship with Ariana Greenblatt adds a lot of heart to the film whilst allowing it to have its both ways when it comes to acknowledging the history of Barbie.Greta Gerwig's direction is excellent, getting the bigger budget she absolutely deserves and uses every penny. Magnificent dance numbers, a fun car chase and a Barbie Land that is as vibrant as possible and despite fully embracing its own artificial nature it feels more real and visually stunning than so much of what's out there.The soundtrack is another standout element, a great selection of songs from some of the best artists currently working all at the top of their game. Like the film, some are just really fun, some are very profound and every single one fits in effortlessly.131 out of 415 found this helpful. Was this review helpful? Sign in to vote.Permalink",1,Barbie
"I'm just going to get straight to the point: I liked some aspects of this movie and disliked other parts. Cinematography: awesome. Choreographed musical numbers: hilarious. Comedy: good. Margot Robbie: great. Ryan Gosling: awesome, and arguably the best part of the movie. The scenery and props really did help create the world. The storyline started off very intriguing. However, when the movie got to the meat of the plot and the central conflict, its message became confusing. It's like they wanted to make Ken the bad guy yet also sympathetic, which is not impossible or unheard of, but the way the writers did this was ineffective. Also, the resolution didn't make sense based on the message and events that led up to it. Lastly, I really hate it when movies try to empower women by dumbing down the men. I get that in a Barbie world, Ken is an afterthought, but in the real world all men were also dumb. They also treated masculine qualities as ""evil."" I hate stereotyping people, men included, and it's like all men ride horses and have fragile egos and drink ""brewskies."" And for goodness sake, if I had a dollar for every time the movie said ""patriarchy"", I'd be rich. So, overall, I give this movie a 6.1,007 out of 1,363 found this helpful. Was this review helpful? Sign in to vote.Permalink",6,Barbie
"So I went into the movie with little to no expectations and I was pleasantly impressed with the movie overall.So basically the movie is about Barbie who is starting to feel emotions and not everything feels perfect in Barbieland. She ventures to the real world to discover the solution of getting everything perfect again. Barbie is joined by the one and not only KEN, Ken is obsessed with Barbie and sees her as the centre of his world, he goes to the real world and discovers patriarchy, which leads to many events.The movie overall is actually quite funny, Ryan Gosling is fantastic as Ken and the stand out for me, he needs to be many versions of Ken and he kills then all !! Margott is also great, she brings a range to Barbie, for me also Weird Barbie was great, she was funny and brought a difference.There were times I felt the ""woman power"" thing was just a bit much and took me out of the movie, I feel like the movie had that message and didn't need to shove it down your throat but it decided to at points so for me that does bring it down a notch, the daughter was also just annoying hahaha yes I get it she hated the world bla bla, she just had no redeeming qualities, otherwise no complains and I do think it's worth seeing, solid 8.53 out of 139 found this helpful. Was this review helpful? Sign in to vote.Permalink",8,Barbie
"I mean, Margo Robbie as Barbie just made perfect sense, but I really wanted to see the movie when I herd that Ryian Gosling was going to be Ken, I just thought that would be hilarious and I was right!I was a little bit nervous when I heard this was not going to be an in-universe thing and that Barbie would enter the real world, but that was a great story.The real-life story did give the art direction the purpose of making a ""BarbieLand"" with life size dream houses even I wanted to live in. The film just looks really good.Give praise to director Greta Gerwig because this movie is fun but there were a lot of deep life cuts and the balance between the two was perfect.It was good hands down.19 out of 59 found this helpful. Was this review helpful? Sign in to vote.Permalink",8,Barbie
"The movie was very funny and really enjoyable to laugh at with the full theatre. However, the messages of the movie were the problem. I was never really sure what I was supposed to take away, there was nothing about finding equality or love it was all about how every man cat falls every woman or women can't be anything. It was really silly because there was no accurate reflection of America at any single point except for Barbie getting called a Fascist for no reason by a 14 year old. I enjoyed how they called out women for hating women and how they really tried to preach empowerment and the ability to be anything, but at the same time there was so much resentment and they ended the movie by reinstating hate. The majority of the movie was hating men as much as possible. That's just whatever because what really matters is the story. Well it fell short on that mark and it was really disappointing. The pacing was horrible, the villain won and was pretty irrelevant in the long run, the story was all over the place, and it is totally not for kids. I think the worst part is how disappointed I was at the opportunity to really make something special and it just wasn't. 6 points for all the laughs and fun I had and I would expect 6-7 to be an appropriate rating.106 out of 178 found this helpful. Was this review helpful? Sign in to vote.Permalink",6,Barbie
"Barbie is based on Mattel's iconic plastic dolls of the same name. Barbie(Margot Robbie) lives a very happy life in Barbie Land, along with her fellow Barbies, Ken(Ryan Gosling) & his fellow Kens. Suddenly, Barbie goes through an existential crisis that makes her question Barbie Land & the truth of her existence.Barbie is a phenomenal film. Director Greta Gerwig has given us a movie that is a tribute to everyone who used to play with Barbie dolls during their childhood, while also making fun of all the tropes of Barbie dolls & Ken dolls. This film is hilarious, with a few emotional scenes that will make you tear up & a beautiful message at the end. The production design by Sarah Greenwood is awe-inspiring. All the songs are foot-tappingly flawless. The choreography is faultless. Margot Robbie is outstanding as Barbie. Robbie's multi-layered portrayal of the titular character, proves that she's the perfect choice to play Barbie. Ryan Gosling is spectacular as Ken. Gosling portrays a wide range of emotions, effortlessly. Ryan Gosling's Ken is the highlight of the movie. America Ferrera is fantastic as Gloria. Ariana Greenblatt is awesome as Sasha. Will Ferrell is hysterical as the Mattel CEO. Michael Cera is perfect as Allan. Helen Mirren is epic as the Narrator. The supporting cast is superb. Barbie is a must watch for a burst of childhood nostalgia & fans of Greta Gerwig, Margot Robbie & Ryan Gosling. Wear a bright pink shirt, grab your friends, head to your nearest theatre, watch it on the big screen & have an absolute whale of a time!30 out of 99 found this helpful. Was this review helpful? Sign in to vote.Permalink",1,Barbie
"I walked out of the theatre thinking, ""Yeah, I had a good time in that movie"". But as the day went on I kind had that ""Ok, that kebab probably wasn't a good idea.""The film is stunning in its production design and creativity, and Margot Robbie is perfectly cast as the Stereotypical Barbie. For the most part, the songs are catchy and performances are solid for the type of characters being portraying.When we strip away the outside world and all the messaging, Barbie and Ken have a few poignant moments - Barbie realising she's not as perfect as she's been made to believe, or when Ken receives his first modicum of acknowledgement of being a sentient being he's ever had in his life. They also share a couple learning and growth moments which I thought would pay off at the end of the film.I don't know why, but I was hoping for something that would actually enlighten its audience, to acknowledge that things are a mess and make intentional and meaningful steps to get us closer to understanding and equality. The Barbie brand, history, controversies are so engrained in our culture that this movie had a potential to change our perspective of the world, and what the future could be. That's a lot of pressure for one film, I know.However... this film is absolutely not immune to the not-so-subtle messaging that has permeated all forms of media and entertainment recently. In fact, it embraces is. So much so that you have a scene where a man walks up behind Barbie and slaps her on the backside, in broad daylight, in a crowded space, in front of her boyfriend.... And this kind of portrayal of men in 2023 appears to be how the film views the world.Maybe it was this kind of overt comical depiction of men and the world generally that allowed me to get through the movie and kind of enjoy it, but upon reflection, I realise now it's just kind of... yuck.Barbie had the rare opportunity to be a film experience that not only highlighted issues in the real world, but offer and foster some ideas for change. Instead, we receive divisive and mean-spirited attack on half the human population as well as anyone who thinking having a family is an acceptable path in life. And also flat feet and cellulite.If you kind of switch off your brain for an hour and a bit, and don't take this film too seriously, then maybe you'll have a lasting positive memory after seeing this movie.But if you need to do that to enjoy something, then you need to ask yourself: why?40 out of 62 found this helpful. Was this review helpful? Sign in to vote.Permalink",6,Barbie
"The concept of a Barbie movie is really unique and got me all exited. But unfortunately to me it delivers the same messages that we keep hearing as of lately.It started off quite funny, but after 45 minutes or so, the movie went in a direction I did not like. It took itself a bit too serious. I would have preferred a more lighthearted movie.Ryan Gosling did the best job out of everyone playing Ken I thought. The perfect guy with the perfect body and yet very campy, girly and insecure. Job well done, especially toward the end.If you are a fan of Barbie, you will probably get your money's worth.101 out of 178 found this helpful. Was this review helpful? Sign in to vote.Permalink",6,Barbie
"I cried, I laughed, I dance and I did sing too. What a joyful time I had at the movies watching Barbie. This is a movie to celebrate how diverse and complicated are the humans. The cinematography is a outstanding as well as the production design and the vestuary. The casting seems like made in heaven. I recommend this movie for 11+ years old. And if you have a teen at home, take her with you. Barbie goes from fun to introspection and I love a good comedy that makes you think. Ryan Gosling is the perfect Ken, he does everything in this movie and shines every time he shows up. Margo is a perfect Barbie and got a real sense of the relevance this is going to have.268 out of 766 found this helpful. Was this review helpful? Sign in to vote.Permalink",1,Barbie
"Without consumerism, without belief, without plastic accessory and hope for a perfect day, where would Barbie find herself?And more importantly where would we find ourselves?In a plot that seems stitched together like an old pair of vintage jeans (that you just can't let go of), Greta Gerwig serves us a platter of modern satire and deep analysis of the condition that we find ourselves in today.Barbie is perfect. Until she's not. And she's becomes accustomed to our culture. The perspective of an otherwise perfect doll born from a matriarchy is wholly interesting and captivating as we laugh, hate and cry throughout the movie. Barbie must find out what is wrong with her owner but in doing so she discovers imperfect humanity and falls in love with it. This is the story and it is told brilliantly.There is no need to mention the phenomenal performances by each and every actor in this film. The set design, the costumes, the cinematography are all a testament to Greta Gerwigs skill as a director.To view this film as merely a feminist blockbuster is to ignore the fact that feminism is not just woman's problem but a humanity's problem. This is what the movie displays. Go into it with an open mind and you will see that it does not preach for women to rule men but for men and women to discover themselves without being pressured by the culture around them. A message which needs to be broadcast across the world in a time of such needless division.We are all forced to live like dolls in this world and we must escape from this and discover ourselves. It is amazing to see Greta Gerwig and Noah Baumbach tackle such daring themes and pull it off. The comedy throughout provided by celebrity cameos and hilarious satire is spot on.The soundtrack is astounding and in particular Billie Eilish's song ""What was I made for?"" is a fantastic close to the journey of discovery that Barbie and Ken have been through.A brilliant achievement in modern film making that makes me hopeful for the future as we tackle more and more complex issues head on - rather than watch boring old men debate uselessness on YouTube.3 out of 4 found this helpful. Was this review helpful? Sign in to vote.Permalink",8,Barbie
"Margot Robbie's performance is perfect, and no other actor could've embodied the character as well as she does. However, Ryan Gosling is the film-stealer. I often forget his comedic talent, and he's given a lot of room to flex it in this. A cleverly executed Matchbox Twenty joke is particularly memorable.While cynics and perhaps realists will argue that the film is primarily a marketing vehicle to sell Barbie dolls, it does attempt to carry a moral message. However, the commercial aspect of the movie undercuts the credibility of this message somewhat.The movie starts off well, being smartly self-aware and offering a tongue-in-cheek critique of itself with many winks to the audience. However, as it progresses, the commentary on feminism and the patriarchy becomes heavy-handed, especially in the dialogue-heavy third act, which weighs down the overall narrative.The set and wardrobe designs are a standout. I think kids will love this part alone, even if some of the humor and social commentary will go over their heads.Overall, it's a fun film but not without its flaws. It's likely to spark discussion due to its blunt societal commentary. If you're looking for a visually impressive movie to entertain the kids, and you're willing to enjoy it without analyzing its message too deeply, then it's an enjoyable watch.236 out of 390 found this helpful. Was this review helpful? Sign in to vote.Permalink",6,Barbie
"What a film! I was ecstatic about seeing Barbie and it definitely exceeded my expectations by far. As much as I was excited, I was a bit scared that the stakes were too high; after all Barbie is an icon and a part of so many people's childhood. For a film like this it's very easy to create something corny, disappointing, or unappealing to viewers. I'm so glad that Gretta Gerwig stepped up to the plate and created an absolute masterpiece.The film starts with showing the origin of Barbie in 1959. It explains how little girls used to play with baby dolls and commonly acted as their mothers, but wanted a doll that they could really play with instead of taking care of. And that's how Barbie came about. Then we see the beautiful Barbie world where every Barbie is a part of something. We see Barbie doctors, Barbie novelists, Barbie astronauts, Barbie everything! And in Barbie's world every day is perfect. The star of the show Margot Robbie plays ""Stereotypical Barbie"" and she starts to notice strange things happening to her. She has to visit the real world to see who was playing with her to discover why these strange things are happening. The rest of the film is about Barbie trying to find herself and discovering scary aspects of the real world that she was blinded by before.There was so much love put into this film and you can really see that on screen. The comedy in this film is so on point that the whole theater was laughing when I went to see this film. Huge kudos to Greta Gerwig and Noah Baumbach, writers of this incredible screenplay. The script is pure genius; I love how the film really honors Barbie and what she was made for. The cast of this film is exceptional. Margot Robbie was originally producing the film until she was cast as Barbie. Margot is the perfect Barbie; she plays this role so well she is like a real-life Barbie on screen. The way she embodies Barbie is just so perfect. I was really excited to see Ryan Gosling as Ken since he's one of my favorite actors. There's a lot of controversy as to why Ryan Gosling was cast as Ken but he makes perfect sense. He plays Ken so well he really nails what it means to be Ken in this film. America Ferrera plays a Mom named Gloria and she is such an interesting character. She plays a mom who's going through struggles of just being a woman and I'm sure her character will speak to so many mothers. It would be a crime to not talk about the insane set. Funny enough, Greta Gerwig used so much pink paint for this set that it actually drained an entire company's supply. The Barbie world is exactly as you'd expect it -- from Barbie dream-houses to Barbie beaches -- everything looks like it came right out of a toy store. Rodrigo Prieto shot this film and the cinematography is extraordinary. As someone who grew up with Barbie, this film really speaks to me. I am in love with the score of this film. Billie Eilish's ""What was I made for"" is one of the most beautiful songs I've heard. This film is packed with so many great artists like Tame Impalla, Lizzo, Dua Lipa and many others.The film is packed with so many messages. I was surprised with how many topics this film covers -- what it means to be a woman, what it means to be a mother, what it's like to grow up in today's society, what is love, and so much more. This film is a celebration of women and girlhood but I also love how it represents men. Ken is discovering how men are viewed in today's society in a similar way to how Barbie is discovering who she is.I give Barbie 5 out of 5 stars and recommend it for ages 8 to 18, plus adults. By Zoe C. KIDS FIRST!49 out of 195 found this helpful. Was this review helpful? Sign in to vote.Permalink",1,Barbie
"Some friends freaking out that I went to see Barbie lol I mean I mentioned I went coz my sister insisted since ages. Anyway the movie was bad. These days, every other director and producer wants to convey messages about women rights and feminism through whatever platform possible and this movie was a perfect example of that with sheer cringe to convey all that. I wished I had gotten the ticket for Oppenheimer in the same timings as my sister's Barbie show. Other than that, the acting done by Margot Robbie and Ryan Gosling was great so can't take that away from them. They did justice to their roles.141 out of 243 found this helpful. Was this review helpful? Sign in to vote.Permalink",6,Barbie
"Wow. WOW!!!!My favorite movie of all time is Aliens. It's been my favorite movie since I was 5-years-old. I'm 38 now. That has NEVER changed.Until THIS.And I bet you are thinking this review is satire. It's NOT.I'm BLOWN away. Barbie is now my favorite movie of all time - successfully unseating Sigourney Weaver's Ripley. I never thought I would see the day.The movie makes you think it's going to be just a fun, silly movie to mock. NO. It's not. It's brilliantly written. It's written so well that all the adult messaging goes right over the little kids heads but still gives them plenty of enjoyment.The movie sparked really great discussion with my daughter who is 8-years-old. We discussed why it's so important to value ourselves and what the patriarchy is. It's just... mind blowingly good.And also - a good reminder to all women. WE ARE ENOUGH. We are good enough. And we need to raise our daughters to be confident and leaders if that's the path they choose.64 out of 241 found this helpful. Was this review helpful? Sign in to vote.Permalink",1,Barbie
"As a guy who never played with Barbie dolls, I was surprised to be caught up in the enthusiasm to see this movie; I purchased tickets well in advance when they first went on sale.It's amazing to think that, a few years back, Amy Schumer was going to star in the title role. Though after seeing Margot Robbie, it's hard to imagine anyone else in that spot.Anyway ... like most moviegoers - I enjoyed this movie. It's a lot like The Lego Movie with its high energy, colorful world-building, meta jokes, self-aware characters and variety of insider (fan) humor. The ""2001 A Space Odyssey"" beginning, (clearly aimed at adult viewers) was priceless.However unlike The Lego Movie I can definitely say that the first half was enormously more entertaining compared to the second. The first half was energized by all the Barbie accessories, character introductions, high-energy music and a very cool plot reveal involving the ""real world"".But unlike The Lego Movie, the second half (while not bad) wasn't able to keep the momentum going. While there was a lot of action and drama ... it felt more hit-and-miss.The message was good: you don't have to be perfect to be happy ... just be true to yourself. However, its delivery felt a bit too complex for kids - and maybe even for some adults.The empowering commentary about womanhood was eloquent ... but it seemed like the writers had trouble getting from that point to a strong and uplifting ending. It almost felt a bit melancholy for whatever reason.But - don';t let that stop you from enjoying this movie! There's a lot to like and it's kind of a cultural moment and opportunity to connect with all the Barbie-love that spans generations. Enjoy this experience with a big audience and you'll be glad you did.7 out of 10 found this helpful. Was this review helpful? Sign in to vote.Permalink",7,Barbie
"It's really something different but some of it feels inspired by other films, I caught references to Fight Club, 2001 Space Odyssey, Lego Movie, and others I can't think of at the moment. But yeah, this was a special film. I don't think as many people will like it as it probably deserves. But I did love most of it. Sometimes the tones felt off at times but it's definitely recommended to see. The satire works great here and the production design, cinematography and acting (intentionally bad in a way on purpose in some spots to deliver the satire aspects) are all perfectly done here though overall. The music is a highlight here too which is sometimes hilarious and reminded me of the Lego movie in some ways. Ryan Gosling and Margot Robbie are both pitch perfect here as well. Definitely recommend anyone to give it a chance. I wouldn't say this is a family movie but I think families with older kids would work perfectly for this. Not sure this will be in the Oscar race but it seems like it will at least for technical aspects and production designs.66 out of 262 found this helpful. Was this review helpful? Sign in to vote.Permalink",8,Barbie
"I appreciated it but wasn't a huge fan of Greta Gerwig's first two films. I knew absolutely nothing about Barbie except that it was a doll. The trailers didn't impress me. I slept less than an hour last night. I watched the movie alone surrounded by teenagers who cheered when the WB logo appeared in pink.The conditions were set for this to go wrong, but Gerwig's vision for Barbie won me over. The film starts in the perfect, goofy, and funny Barbie Land, but it doesn't take long to move to the real world. Curiously, while most of the action in the real world works well, it's also where I felt some issues, mainly with the Mattel executives' characters. Let's say it was the only time I felt that the silliness of the film (and it's indeed very silly) went too far. The third act wraps everything up perfectly, with some fantastic speeches and a strong conclusion. Margot Robbie is great in the role of Barbie, but there's a big surprise in America Ferrera, and Ryan Gosling steals all the attention whenever he's on screen. All the supporting cast is hilarious.Younger audiences will love the colours, the incredible production design, and the light tone. However, this is a very adult film in the themes it addresses, managing to be highly relevant without ever ceasing to entertain. The feminist traits are well-defined, and it's an homage to women, but not only that. It's primarily about self-discovery, finding our own path, and being true to ourselves.44 out of 204 found this helpful. Was this review helpful? Sign in to vote.Permalink",8,Barbie
